Address  Disassembly                                                                  Destination                                                  
00161019 mov esi,dword ptr ds:[<&printf>]                                             <msvcr90.printf>
00161030 call dword ptr ds:[<&scanf>]                                                 <msvcr90.scanf>
0016108D call dword ptr ds:[<&_getch>]                                                <msvcr90._getch>
001610E4 call dword ptr ds:[<&__wgetmainargs>]                                        <msvcr90.__wgetmainargs>
001610F8 call <JMP.&_amsg_exit>                                                       <msvcr90._amsg_exit>
00161124 call dword ptr ds:[<&InterlockedCompareExchange>]                            <kernel32.InterlockedCompareExchange>
0016113F call dword ptr ds:[<&Sleep>]                                                 <kernel32.Sleep>
00161155 call <JMP.&_amsg_exit>                                                       <msvcr90._amsg_exit>
00161176 call <JMP.&_initterm_e>                                                      <msvcr90._initterm_e>
001611AB call <JMP.&_initterm>                                                        <msvcr90._initterm>
001611C3 call dword ptr ds:[<&InterlockedExchange>]                                   <kernel32.InterlockedExchange>
001611EF mov ecx,dword ptr ds:[<&__winitenv>]                                         <msvcr90.__winitenv>
0016121F call dword ptr ds:[<&exit>]                                                  <msvcr90.exit>
00161231 call <JMP.&_XcptFilter>                                                      <msvcr90._XcptFilter>
0016124F call dword ptr ds:[<&_exit>]                                                 <msvcr90._exit>
0016125D call dword ptr ds:[<&_cexit>]                                                <msvcr90._cexit>
001612DB call dword ptr ds:[<&__set_app_type>]                                        <msvcr90.__set_app_type>
001612E3 call dword ptr ds:[<&_encode_pointer>]                                       <msvcr90._encode_pointer>
001612F5 call dword ptr ds:[<&__p__fmode>]                                            <msvcr90.__p__fmode>
00161303 call dword ptr ds:[<&__p__commode>]                                          <msvcr90.__p__commode>
00161311 mov eax,dword ptr ds:[<&_adjust_fdiv>]                                       <msvcr90._adjust_fdiv>
00161335 call dword ptr ds:[<&__setusermatherr>]                                      <msvcr90.__setusermatherr>
0016134C call dword ptr ds:[<&_configthreadlocale>]                                   <msvcr90._configthreadlocale>
0016141B call dword ptr ds:[<&IsDebuggerPresent>]                                     <kernel32.IsDebuggerPresent>
00161428 call <JMP.&_crt_debugger_hook>                                               <msvcr90._crt_debugger_hook>
00161430 call dword ptr ds:[<&SetUnhandledExceptionFilter>]                           <kernel32.SetUnhandledExceptionFilter>
0016143B call dword ptr ds:[<&UnhandledExceptionFilter>]                              <kernel32.UnhandledExceptionFilter>
0016144C call <JMP.&_crt_debugger_hook>                                               <msvcr90._crt_debugger_hook>
00161457 call dword ptr ds:[<&GetCurrentProcess>]                                     <kernel32.GetCurrentProcess>
0016145E call dword ptr ds:[<&TerminateProcess>]                                      <kernel32.TerminateProcess>
0016149D call <JMP.&?terminate@@YAXXZ>                                                <msvcr90.?terminate@@YAXXZ>
001614AD call dword ptr ds:[<&SetUnhandledExceptionFilter>]                           <kernel32.SetUnhandledExceptionFilter>
001614CE mov esi,dword ptr ds:[<&_decode_pointer>]                                    <msvcr90._decode_pointer>
001614E2 call dword ptr ds:[<&_onexit>]                                               <msvcr90._onexit>
001614ED call <JMP.&_lock>                                                            <msvcr90._lock>
0016151A mov esi,dword ptr ds:[<&_encode_pointer>]                                    <msvcr90._encode_pointer>
00161524 call <JMP.&__dllonexit>                                                      <msvcr90.__dllonexit>
0016155A call <JMP.&_unlock>                                                          <msvcr90._unlock>
001617A0 call <JMP.&_except_handler4_common>                                          <msvcr90._except_handler4_common>
001617BA call <JMP.&_controlfp_s>                                                     <msvcr90._controlfp_s>
001617CB call <JMP.&_invoke_watson>                                                   <msvcr90._invoke_watson>
0016180F call dword ptr ds:[<&GetSystemTimeAsFileTime>]                               <kernel32.GetSystemTimeAsFileTime>
0016181B call dword ptr ds:[<&GetCurrentProcessId>]                                   <kernel32.GetCurrentProcessId>
00161823 call dword ptr ds:[<&GetCurrentThreadId>]                                    <kernel32.GetCurrentThreadId>
0016182B call dword ptr ds:[<&GetTickCount>]                                          <kernel32.GetTickCount>
00161837 call dword ptr ds:[<&QueryPerformanceCounter>]                               <kernel32.QueryPerformanceCounter>
6CB01DFD call dword ptr ds:[<&GetModuleFileNameA>]                                    <kernel32.GetModuleFileNameA>
6CB0202A call dword ptr ds:[<&GetModuleFileNameW>]                                    <kernel32.GetModuleFileNameW>
6CB020D0 call dword ptr ds:[<&Sleep>]                                                 <kernel32.Sleep>
6CB020D9 call dword ptr ds:[<&GetModuleHandleW>]                                      <kernel32.GetModuleHandleW>
6CB020FB call dword ptr ds:[<&GetModuleHandleW>]                                      <kernel32.GetModuleHandleW>
6CB0218F call dword ptr ds:[<&GetModuleHandleW>]                                      <kernel32.GetModuleHandleW>
6CB0219F call dword ptr ds:[<&GetProcAddress>]                                        <kernel32.GetProcAddress>
6CB021C6 call dword ptr ds:[<&ExitProcess>]                                           <kernel32.ExitProcess>
6CB025A9 call dword ptr ds:[<&GetModuleFileNameA>]                                    <kernel32.GetModuleFileNameA>
6CB0267C call dword ptr ds:[<&GetStdHandle>]                                          <kernel32.GetStdHandle>
6CB026A6 call dword ptr ds:[<&WriteFile>]                                             <kernel32.WriteFile>
6CB027FB mov esi,dword ptr ds:[<&GetModuleHandleW>]                                   <kernel32.GetModuleHandleW>
6CB0281C call dword ptr ds:[<&GetProcAddress>]                                        <kernel32.GetProcAddress>
6CB02851 call dword ptr ds:[<&GetModuleFileNameW>]                                    <kernel32.GetModuleFileNameW>
6CB02876 call dword ptr ds:[<&GetLongPathNameW>]                                      <kernel32.GetLongPathNameW>
6CB028CA call dword ptr ds:[<&GetSystemDirectoryW>]                                   <kernel32.GetSystemDirectoryW>
6CB0297F call dword ptr ds:[<&GetSystemWindowsDirectoryW>]                            <kernel32.GetSystemWindowsDirectoryW>
6CB02BEA call dword ptr ds:[<&GetCommandLineA>]                                       <kernel32.GetCommandLineA>
6CB02BF5 call <JMP.&GetCommandLineW>                                                  <kernel32.GetCommandLineW>
6CB02C43 call dword ptr ds:[<&OutputDebugStringA>]                                    <kernel32.OutputDebugStringA>
6CB02C49 call dword ptr ds:[<&DebugBreak>]                                            <kernel32.DebugBreak>
6CB02CC8 call dword ptr ds:[<&TlsGetValue>]                                           <kernel32.TlsGetValue>
6CB02D0D call dword ptr ds:[<&GetCurrentThreadId>]                                    <kernel32.GetCurrentThreadId>
6CB02DBD mov ebx,dword ptr ds:[<&RtlDeleteCriticalSection>]                           <ntdll.RtlDeleteCriticalSection>
6CB02E25 call dword ptr ds:[<&RtlLeaveCriticalSection>]                               <ntdll.RtlLeaveCriticalSection>
6CB02F24 call dword ptr ds:[<&RtlEnterCriticalSection>]                               <ntdll.RtlEnterCriticalSection>
6CB030F0 call dword ptr ds:[<&GetModuleFileNameA>]                                    <kernel32.GetModuleFileNameA>
6CB0326D call dword ptr ds:[<&CloseHandle>]                                           <kernel32.CloseHandle>
6CB0327C call dword ptr ds:[<&RtlExitUserThread>]                                     <ntdll.RtlExitUserThread>
6CB032F9 call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
6CB03300 call dword ptr ds:[<&RtlExitUserThread>]                                     <ntdll.RtlExitUserThread>
6CB033A5 call dword ptr ds:[<&CreateThread>]                                          <kernel32.CreateThread>
6CB033B5 call dword ptr ds:[<&ResumeThread>]                                          <kernel32.ResumeThread>
6CB033C0 call dword ptr ds:[<&GetLastError>]                                          <kernel32.GetLastError>
