Address  Disassembly                                                                                                                                                                                              String                                                                                                                                                                                                                                                                                                                                                                                                                                                                
01041044 push crackme2.104FD2C                                                                                                                                                                                    "Error"
01041049 push crackme2.104FD38                                                                                                                                                                                    "Sorry, this trial software has expired.  To continue to use this sofware, please purchase a full copy."
010410C1 mov dword ptr ss:[esp+40],crackme2.10520DC                                                                                                                                                               L"win32app"
010410E0 push crackme2.104FDA0                                                                                                                                                                                    L"ExpirationDemo"
010410E5 push crackme2.104FDC0                                                                                                                                                                                    L"Call to RegisterClassEx failed!"
01041126 push crackme2.10520BC                                                                                                                                                                                    L"ExpirationDemo"
0104112B push crackme2.10520DC                                                                                                                                                                                    L"win32app"
01041145 push crackme2.104FDA0                                                                                                                                                                                    L"ExpirationDemo"
0104114A push crackme2.104FE00                                                                                                                                                                                    L"Call to CreateWindow failed!"
010411E9 mov esi,crackme2.104FE40                                                                                                                                                                                 L"Congratulations!  Program Successfully Loaded."
010412F7 cmp dword ptr ds:[eax+1040074],E                                                                                                                                                                         ".\r\r\n$"
01041A0B push crackme2.104C260                                                                                                                                                                                    L"mscoree.dll"
01041A1C push crackme2.104C278                                                                                                                                                                                    "CorExitProcess"
01042332 mov eax,dword ptr ds:[eax*8+104C28C]                                                                                                                                                                     &L"R6002\r\n- floating point support not loaded\r\n"
0104239B push crackme2.104CC28                                                                                                                                                                                    L"Runtime Error!\n\nProgram: "
010423DC push crackme2.104CC5C                                                                                                                                                                                    L"<program name unknown>"
01042414 push crackme2.104CC8C                                                                                                                                                                                    L"..."
0104243D push crackme2.104CC94                                                                                                                                                                                    L"\n\n"
01042475 push crackme2.104CCA0                                                                                                                                                                                    L"Microsoft Visual C++ Runtime Library"
010427BF push crackme2.104CCEC                                                                                                                                                                                    L"kernel32.dll"
010427D2 push crackme2.104CD08                                                                                                                                                                                    "FlsAlloc"
010427E0 push crackme2.104CD14                                                                                                                                                                                    "FlsFree"
010427F3 push crackme2.104CD1C                                                                                                                                                                                    "FlsGetValue"
01042806 push crackme2.104CD28                                                                                                                                                                                    "FlsSetValue"
01042819 push crackme2.104CD34                                                                                                                                                                                    "InitializeCriticalSectionEx"
0104282C push crackme2.104CD50                                                                                                                                                                                    "CreateEventExW"
0104283F push crackme2.104CD60                                                                                                                                                                                    "CreateSemaphoreExW"
01042852 push crackme2.104CD74                                                                                                                                                                                    "SetThreadStackGuarantee"
01042865 push crackme2.104CD8C                                                                                                                                                                                    "CreateThreadpoolTimer"
01042878 push crackme2.104CDA4                                                                                                                                                                                    "SetThreadpoolTimer"
